target,category,value
example.com,subdomain,r1159092.u327247.tscom.kvm.ubuntu-22.04-amd64-r1.example.com
example.com,subdomain,scherbanev.an.example.com
example.com,subdomain,ludmilaalexeeva.example.com
example.com,subdomain,qwerty3691929.example.com
example.com,subdomain,roberto18.example.com
example.com,subdomain,tangliang00013.example.com
example.com,subdomain,174347.example.com
example.com,subdomain,azen2048100.example.com
example.com,subdomain,kshohag2201.example.com
example.com,subdomain,lovek369.example.com
example.com,subdomain,zhdanov.roma.example.com
example.com,subdomain,solislar28274.example.com
example.com,subdomain,uvejourgen.example.com
example.com,subdomain,containerhub.example.com
example.com,subdomain,admin84.example.com
example.com,subdomain,geleznov04.example.com
example.com,subdomain,kompanwcpaj.example.com
example.com,subdomain,mifvi.example.com
example.com,subdomain,xgm89g1.example.com
example.com,subdomain,am-001.example.com
example.com,subdomain,test-cdn.example.com
example.com,subdomain,1515.example.com
example.com,subdomain,foodfresh3.example.com
example.com,subdomain,hijacked-ip-address-192-83-197-231.example.com
example.com,subdomain,ipnepp.example.com
example.com,subdomain,dom26.izumrudnyy.example.com
example.com,subdomain,alyans.srv.example.com
example.com,subdomain,f75a.example.com
example.com,subdomain,fsmileberry.example.com
example.com,subdomain,lesonwoodsss.example.com
example.com,subdomain,vetaal.example.com
example.com,subdomain,vladimir723kirov2.example.com
example.com,subdomain,ww2w.example.com
example.com,subdomain,core-proxy.example.com
example.com,subdomain,frontend.example.com
example.com,subdomain,dentmb12.example.com
example.com,subdomain,gremar6601.example.com
example.com,subdomain,sergeybazarnii.example.com
example.com,subdomain,147-255-227-160.w.example.com
example.com,subdomain,1553867264822.example.com
example.com,subdomain,denmar90.example.com
example.com,subdomain,f6g5.example.com
example.com,subdomain,genesiscoderjohn1.example.com
example.com,subdomain,samdlx.example.com
example.com,subdomain,tuzi16.example.com
example.com,subdomain,193685.example.com
example.com,subdomain,alexpigs130.example.com
example.com,subdomain,bmw888889180.example.com
example.com,subdomain,info11.example.com
example.com,subdomain,llakina5.example.com
example.com,subdomain,mb75.example.com
example.com,subdomain,ru-proxy8.example.com
example.com,subdomain,thehottech1299.example.com
example.com,subdomain,avs32.example.com
example.com,subdomain,bagavievartur.example.com
example.com,subdomain,fds.info.example.com
example.com,subdomain,lexkertis.example.com
example.com,subdomain,ostanteam17.example.com
example.com,subdomain,vslave4.example.com
example.com,subdomain,188000.example.com
example.com,subdomain,azen204862.example.com
example.com,subdomain,qwerty369196.example.com
example.com,subdomain,vasukostiakgio.example.com
example.com,subdomain,www.example.com
example.com,subdomain,roxygenoff.example.com
example.com,subdomain,bazik20125.example.com
example.com,subdomain,developer149.example.com
example.com,subdomain,puppet.development.example.com
example.com,subdomain,info7.example.com
example.com,subdomain,mahmoudemailgoggle.example.com
example.com,subdomain,sarahclarkhrth.example.com
example.com,subdomain,shabeighuuql108.example.com
example.com,subdomain,nagasaon20nov.example.com
example.com,subdomain,portbug.example.com
example.com,subdomain,ipromanenko.example.com
example.com,subdomain,kirill.example.com
example.com,subdomain,op758715.example.com
example.com,subdomain,race023.example.com
example.com,subdomain,c23c.example.com
example.com,subdomain,virdsam29september.example.com
example.com,subdomain,185565.example.com
example.com,subdomain,cerg19982012.example.com
example.com,subdomain,david1.davis.example.com
example.com,subdomain,kerimov-magomed.example.com
example.com,subdomain,i2.zenin.example.com
example.com,subdomain,debian-4gb-hel1-1.example.com
example.com,subdomain,demo-va.example.com
example.com,subdomain,a3227651219.example.com
example.com,subdomain,support23.example.com
example.com,subdomain,vps20221.example.com
example.com,subdomain,andrewblack925925.example.com
example.com,subdomain,www.arban.example.com
example.com,subdomain,artimarti031.example.com
example.com,subdomain,jardelsilva2024.example.com
example.com,subdomain,lexkertis1.example.com
example.com,subdomain,ralph5.example.com
example.com,subdomain,rushtuli.example.com
example.com,subdomain,vidservis2010.example.com
example.com,subdomain,example4241.example.com
example.com,subdomain,xmkzs12.example.com
example.com,subdomain,201-16-212-85.vm.example.com
example.com,subdomain,mail.gn213.example.com
example.com,subdomain,zsthai003.example.com
example.com,subdomain,admvuzopedia1.example.com
example.com,subdomain,avs54.example.com
example.com,subdomain,robovps.biz.example.com
example.com,subdomain,meancheal.example.com
example.com,subdomain,aflegmat.example.com
example.com,subdomain,burkovigor385.example.com
example.com,subdomain,uurielt-mail.example.com
example.com,subdomain,po.web.example.com
example.com,subdomain,pkugis.xiao.example.com
example.com,subdomain,yakopashaksi.example.com
example.com,subdomain,amur-art.example.com
example.com,subdomain,mihailschwarz.example.com
example.com,subdomain,server1.example.com
example.com,subdomain,azen2048130.example.com
